RESUMO EXECUTIVO;;;;
Assessment;Avaliação Teste 22:02:42;;;
Organização;Sollar Treinamentos;;;
Total de Participantes;5;;;
Taxa de Conclusão;0%;;;
Última Resposta;10/01/2026, 11:27;;;
;;;;
ANÁLISE POR CATEGORIA;;;;
Categoria;Pontuação Média;Nível de Risco;Total de Respostas;Total de Perguntas
Demandas e Ritmo de Trabalho;3.6;Baixo;10;0
Autonomia, Clareza e Mudanças;0;Alto;0;0
Liderança e Reconhecimento;3.6;Baixo;15;0
Relações, Clima e Comunicação;3.6;Baixo;10;0
Equilíbrio Trabalho–Vida e Saúde;0;Alto;0;0
Violência, Assédio e Medo de Repressão;0;Alto;0;0
Âncoras (Satisfação, Saúde, Permanência);2.6;Médio;5;0
Sugestões;0;Alto;0;0